id,question,golden_answer,gold_context
7,What is the host of Myxidium mackiei (Myxosporea) ?,Lissemys punctata andersonii,Myxidium mackiei (Myxosporea) in Indo-Gangetic flap-shelled turtles Lissemys punctata andersonii: parasite-host interaction and ultrastructure.
8,What is the host of Balamuthia mandrillaris ?,Human,Fatal amebic encephalitis caused by Balamuthia mandrillaris in an immunocompetent host: a clinicopathological review of pathogenic free-living amebae in human hosts.
10,With what common species there are host interactions with Procyon lotor L. and Didelphis virginiana Kerr ?,Dermacentor variabilis Say,A mark-recapture study of raccoons (Procyon lotor L.) and Virginia opossums (Didelphis virginiana Kerr) was conducted from February 1991 through April 1994 to determine host interactions with adult Dermacentor variabilis Say.
13,What are the host species of ergot isolates ?,"Lolium perenne, Poa pratensis, Bromus inermis, and Secale cereale","The study consisted of 74 ergot isolates, from four different host species, Lolium perenne, Poa pratensis, Bromus inermis, and Secale cereale plus three additional Claviceps species, C. pusilla, C. paspali and C.fusiformis."
15,Which bone protein is used in archaelogy for dating and species identification?,Collagen,"Spatial variability in sulphur isotope values of archaeological and modern cod (Gadus morhua). RATIONALE: This study presents the first sulphur isotope data of modern and archaeological cod (Gadus morhua) bone collagen, undertaken to identify large-scale spatial variability of significance as both baseline values for studies of human diet and a potential variable in isotope-based studies of fish trading. METHODS: Collagen was extracted from modern and archaeological cod bones using a weak HCl solution and analysed for its sulphur isotopic composition by isotope ratio mass spectrometry (IRMS). RESULTS: The archaeological cod have sulphur isotope values ranging from +9.1‰ to +18.2‰, whereas values for modern specimens range from +14.8‰ to +18.3‰. The modern data show values implying less freshwater influence, consistent with their offshore catch locations, but also corroborate some of the regional variability evident from the archaeological evidence. CONCLUSIONS: The archaeological data have a large range of sulphur isotope values compared with the modern populations, probably indicating they were taken from a wide range of geographic locations, including both coastal and offshore locales. They show broad trends of regional difference that may relate to both the fish populations targeted (e.g. 'inshore' versus 'offshore') and the baseline values of the local ecosystem (e.g. degree of freshwater input from river systems)."
23,What is the scientific name of the North American deer mouse ?,Peromyscus maniculatus (Wagner),"The type host of the new flea is the southern red-backed vole, Myodes gapperi (Vigors) (25 flea specimens), although small numbers of specimens were also collected from a sympatric northern short-tailed shrew, Blarina brevicauda (Say) (2 fleas), a red squirrel, Tamiasciurus hudsonicus (Erxleben) (1 flea), and a North American deer mouse, Peromyscus maniculatus (Wagner) (1 flea)."
28,What is the scientific name of the grapevine downy mildew ?,Plasmopara viticola,"The causal agent of grapevine downy mildew, Plasmopara viticola, induces the synthesis of stilbenoid phytoalexins by the host, Vitis vinifera, early upon infection."
29,What are the hosts of R. grahamii ?,Leucaena leucocephala and Phaseolus vulgaris,"R. grahamii has a broad-host-range that includes Leucaena leucocephala and Phaseolus vulgaris, although it is a poor competitor for P. vulgaris nodulation in the presence of Rhizobium etli or Rhizobium phaseoli strains."
34,What is AG1-IA ?,A fusion group of Rhizoctonia solani,"Corn sheath blight, caused by AG1-IA, a fusion group of Rhizoctonia solani, which acts as a kind of necrotrophic fungal pathogen, poses a global threat to the production of Zea mays."
36,What can Nothobranchius furzeri be used as a model system for?,aging research,"Resveratrol and the pharmacology of aging: a new vertebrate model to validate an old molecule. The natural phytoalexin resveratrol, found in grapes and red wine, recently rose to public fame for its positive effects on longevity in yeasts, worms and flies. Resveratrol anti-cancer and anti-inflammatory in vitro action on mammalian cell cultures also suggest a possible positive effect on human health and life-expectancy. To study the effects of resveratrol on vertebrate aging is obviously a particularly relevant question. We have studied resveratrol effects in a very short-lived vertebrate: the annual fish Nothobranchius furzeri. Resveratrol treatment prolonged lifespan and delayed the onset of age-related dysfunctions in this fish. This result identifies resveratrol as the first molecule which consistently retards aging in organisms as diverse as yeast, worm, fly and fish, but it also reveals the potential of this short-lived fish as an animal model for pharmacological research. Moreover, being related to stickleback (Gasterosteus aculeatus) the ""pufferfishes"" Takifugu and Tetraodon, and even more closely related to medaka (Oryzias latipes), it can greatly beneficiate from the recent development of genomic resources for these fish models and in the future become a complete model system for the aging research community."
44,What is the scientific name of the pin oak ?,Quercus palustris Muenchhausen,"Pin oak, Quercus palustris Muenchhausen, is the primary host for the gall wasp Callirhytis cornigera (Osten Sacken)."
